,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.05,219,201,201,36300
0,0.05,217,201,201,17555
0,0.05,207,201,201,72901
0,0.05,205,201,201,23312
0,0.05,217,201,201,49896
0,0.05,213,201,201,57179
0,0.05,211,201,201,26204
0,0.05,223,201,201,61238
0,0.05,207,201,201,35897
0,0.05,217,201,201,35664
0,0.05,211,201,201,54773
0,0.05,229,201,201,20494
0,0.05,209,201,201,26471
0,0.05,211,201,201,41899
0,0.05,213,201,201,68262
0,0.05,213,201,201,48510
0,0.05,207,201,201,49538
0,0.05,205,201,201,37599
0,0.05,215,201,201,59861
0,0.05,229,201,201,24167
0,0.05,219,201,201,15591
0,0.05,209,201,201,40846
0,0.05,211,201,201,38420
0,0.05,209,201,201,61024
0,0.05,201,201,201,30830
0,0.05,215,201,201,16945
0,0.05,205,201,201,27840
0,0.05,213,201,201,32658
0,0.060000000000000005,225,201,201,81377
0,0.060000000000000005,217,201,201,61339
0,0.060000000000000005,209,201,201,67674
0,0.060000000000000005,223,201,201,37488
0,0.060000000000000005,207,201,201,33493
0,0.060000000000000005,223,201,201,61384
0,0.060000000000000005,215,201,201,44734
0,0.060000000000000005,221,201,201,56184
0,0.060000000000000005,225,201,201,27929
0,0.060000000000000005,209,201,201,43402
0,0.060000000000000005,221,201,201,44255
0,0.060000000000000005,211,201,201,53178
0,0.060000000000000005,205,201,201,64329
0,0.060000000000000005,221,201,201,36790
0,0.060000000000000005,227,201,201,46043
0,0.060000000000000005,215,201,201,61502
0,0.060000000000000005,217,201,201,21771
0,0.060000000000000005,223,201,201,76826
0,0.060000000000000005,211,201,201,59908
0,0.060000000000000005,207,201,201,41331
0,0.060000000000000005,213,201,201,40745
0,0.060000000000000005,211,201,201,33545
0,0.060000000000000005,211,201,201,61910
0,0.060000000000000005,227,201,201,32145
0,0.060000000000000005,211,201,201,11044
0,0.060000000000000005,217,201,201,65559
0,0.060000000000000005,221,201,201,39188
0,0.060000000000000005,215,201,201,37147
0,0.060000000000000005,221,201,201,58519
0,0.060000000000000005,213,201,201,29511
0,0.060000000000000005,215,201,201,48223
0,0.060000000000000005,209,201,201,31862
0,0.060000000000000005,223,201,201,59200
0,0.060000000000000005,211,201,201,29539
0,0.060000000000000005,221,201,201,33591
0,0.060000000000000005,207,201,201,32253
0,0.060000000000000005,213,201,201,42838
0,0.060000000000000005,209,201,201,64083
0,0.060000000000000005,207,201,201,24545
0,0.060000000000000005,217,201,201,42376
0,0.060000000000000005,219,201,201,34905
0,0.060000000000000005,217,201,201,32361
0,0.060000000000000005,205,201,201,53682
0,0.060000000000000005,209,201,201,78895
0,0.060000000000000005,207,201,201,40526
0,0.060000000000000005,213,201,201,41536
0,0.060000000000000005,209,201,201,47672
0,0.060000000000000005,209,201,201,57929
0,0.060000000000000005,211,201,201,45249
0,0.060000000000000005,209,201,201,33991
0,0.060000000000000005,211,201,201,60770
0,0.060000000000000005,219,201,201,52826
0,0.060000000000000005,215,201,201,34728
0,0.060000000000000005,207,201,201,52258
0,0.060000000000000005,221,201,201,40814
0,0.060000000000000005,209,201,201,28646
0,0.060000000000000005,211,201,201,26798
0,0.060000000000000005,231,201,201,44550
0,0.060000000000000005,225,201,201,25900
0,0.060000000000000005,213,201,201,26962
0,0.060000000000000005,229,201,201,22234
0,0.060000000000000005,213,201,201,65604
0,0.060000000000000005,215,201,201,41137
0,0.060000000000000005,217,201,201,38194
0,0.060000000000000005,213,201,201,45058
0,0.060000000000000005,219,201,201,42901
