,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.23000000000000007,291,201,201,472257
0,0.23000000000000007,313,201,201,465911
0,0.23000000000000007,265,201,201,507113
0,0.23000000000000007,345,201,201,786147
0,0.23000000000000007,271,201,201,339991
0,0.23000000000000007,295,201,201,453437
0,0.23000000000000007,321,201,201,516909
0,0.24000000000000007,341,201,201,690574
0,0.24000000000000007,329,201,201,444258
0,0.24000000000000007,321,201,201,450296
0,0.24000000000000007,335,201,201,488021
0,0.24000000000000007,331,201,201,546591
0,0.24000000000000007,285,201,201,394630
0,0.24000000000000007,367,201,201,496444
0,0.24000000000000007,293,201,201,522207
0,0.24000000000000007,303,201,201,685749
0,0.24000000000000007,317,201,203,611725
0,0.24000000000000007,355,201,201,508238
0,0.24000000000000007,341,201,201,503046
0,0.24000000000000007,335,201,205,457282
0,0.24000000000000007,309,201,203,656500
0,0.24000000000000007,337,201,201,531308
0,0.24000000000000007,305,201,201,645694
0,0.24000000000000007,307,201,201,567773
0,0.24000000000000007,297,201,201,586345
0,0.24000000000000007,339,201,203,662753
0,0.24000000000000007,307,201,201,681310
0,0.24000000000000007,253,201,201,319887
0,0.24000000000000007,267,201,201,539424
0,0.24000000000000007,299,201,201,698587
0,0.24000000000000007,335,201,201,583230
0,0.24000000000000007,331,201,201,774513
0,0.24000000000000007,283,201,201,527582
0,0.24000000000000007,369,201,201,594578
0,0.24000000000000007,283,201,201,362800
0,0.24000000000000007,327,201,201,508975
0,0.24000000000000007,353,201,201,536484
0,0.25000000000000006,295,201,201,689926
0,0.25000000000000006,391,201,203,798615
0,0.25000000000000006,313,201,201,593989
0,0.25000000000000006,305,201,201,593989
0,0.25000000000000006,305,201,201,611979
0,0.25000000000000006,363,201,201,597255
0,0.25000000000000006,283,201,203,491192
0,0.25000000000000006,337,201,201,523715
0,0.25000000000000006,323,201,201,619446
0,0.25000000000000006,353,201,201,743641
0,0.25000000000000006,343,201,201,688588
0,0.25000000000000006,383,201,201,566355
0,0.25000000000000006,373,201,201,632061
0,0.25000000000000006,289,201,201,539949
0,0.25000000000000006,385,201,201,477707
0,0.25000000000000006,313,201,201,418371
0,0.25000000000000006,317,201,201,558808
0,0.25000000000000006,327,201,201,592018
0,0.25000000000000006,325,201,201,547271
0,0.25000000000000006,357,201,201,590171
0,0.25000000000000006,331,201,201,679770
0,0.25000000000000006,341,201,201,703055
